visit_date,condition,clicked_adopt_today
2018-01-01,control,0
2018-01-01,control,1
2018-01-01,control,0
2018-01-01,control,0
2018-01-01,test,0
2018-01-01,test,0
2018-01-01,test,1
2018-01-01,test,0
2018-01-01,test,0
2018-01-01,test,1
2018-01-01,test,1
2018-01-02,control,0
2018-01-02,control,1
2018-01-02,control,1
2018-01-02,control,0
2018-01-02,control,0
2018-01-02,control,1
2018-01-02,control,0
2018-01-02,control,0
2018-01-02,control,0
2018-01-02,control,0
2018-01-02,control,0
2018-01-02,control,0
2018-01-02,test,0
2018-01-02,test,0
2018-01-02,test,1
2018-01-02,test,1
2018-01-02,test,0
2018-01-02,test,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,control,0
2018-01-03,test,0
2018-01-03,test,0
2018-01-03,test,0
2018-01-03,test,1
2018-01-03,test,0
2018-01-03,test,1
2018-01-03,test,1
2018-01-03,test,0
2018-01-03,test,1
2018-01-03,test,1
2018-01-03,test,0
2018-01-03,test,1
2018-01-04,control,0
2018-01-04,control,1
2018-01-04,control,0
2018-01-04,control,0
2018-01-04,control,1
2018-01-04,control,0
2018-01-04,control,0
2018-01-04,control,0
2018-01-04,control,1
2018-01-04,control,1
2018-01-04,control,0
2018-01-04,test,0
2018-01-04,test,0
2018-01-04,test,0
2018-01-04,test,0
2018-01-04,test,1
2018-01-04,test,1
2018-01-04,test,0
2018-01-04,test,1
2018-01-04,test,0
2018-01-04,test,0
2018-01-04,test,0
2018-01-04,test,0
2018-01-05,control,0
2018-01-05,control,0
2018-01-05,control,0
2018-01-05,control,0
2018-01-05,control,1
2018-01-05,control,0
2018-01-05,control,0
2018-01-05,control,0
2018-01-05,control,0
2018-01-05,test,1
2018-01-05,test,0
2018-01-05,test,1
2018-01-05,test,0
2018-01-05,test,1
2018-01-05,test,0
2018-01-05,test,1
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,1
2018-01-06,control,0
2018-01-06,control,1
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,control,0
2018-01-06,test,1
2018-01-06,test,1
2018-01-06,test,1
2018-01-06,test,0
2018-01-06,test,1
2018-01-06,test,1
2018-01-06,test,0
2018-01-06,test,0
2018-01-06,test,0
2018-01-06,test,0
2018-01-06,test,0
2018-01-06,test,1
2018-01-07,control,1
2018-01-07,control,0
2018-01-07,control,0
2018-01-07,control,0
2018-01-07,control,0
2018-01-07,control,0
2018-01-07,control,1
2018-01-07,test,0
2018-01-07,test,1
2018-01-07,test,0
2018-01-07,test,1
2018-01-07,test,1
2018-01-07,test,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,1
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,control,0
2018-01-08,test,1
2018-01-08,test,0
2018-01-08,test,1
2018-01-08,test,0
2018-01-08,test,0
2018-01-08,test,1
2018-01-08,test,1
2018-01-08,test,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,control,0
2018-01-09,test,0
2018-01-09,test,0
2018-01-09,test,1
2018-01-09,test,1
2018-01-09,test,1
2018-01-09,test,0
2018-01-09,test,0
2018-01-09,test,0
2018-01-09,test,0
2018-01-09,test,1
2018-01-09,test,1
2018-01-09,test,0
2018-01-09,test,0
2018-01-10,control,0
2018-01-10,control,0
2018-01-10,control,1
2018-01-10,control,0
2018-01-10,control,0
2018-01-10,control,0
2018-01-10,control,0
2018-01-10,control,0
2018-01-10,control,0
2018-01-10,control,1
2018-01-10,control,0
2018-01-10,test,0
2018-01-10,test,1
2018-01-10,test,1
2018-01-10,test,0
2018-01-10,test,1
2018-01-10,test,0
2018-01-10,test,0
2018-01-10,test,0
2018-01-10,test,0
2018-01-11,control,0
2018-01-11,control,0
2018-01-11,control,0
2018-01-11,control,0
2018-01-11,control,0
2018-01-11,control,0
2018-01-11,test,1
2018-01-11,test,1
2018-01-11,test,1
2018-01-11,test,1
2018-01-11,test,0
2018-01-11,test,0
2018-01-11,test,1
2018-01-11,test,1
2018-01-11,test,1
2018-01-11,test,0
2018-01-12,control,0
2018-01-12,control,1
2018-01-12,control,1
2018-01-12,control,0
2018-01-12,control,0
2018-01-12,control,0
2018-01-12,control,0
2018-01-12,control,0
2018-01-12,control,1
2018-01-12,control,0
2018-01-12,test,1
2018-01-12,test,0
2018-01-12,test,1
2018-01-12,test,0
2018-01-12,test,0
2018-01-12,test,1
2018-01-12,test,0
2018-01-12,test,1
2018-01-12,test,1
2018-01-12,test,1
2018-01-12,test,0
2018-01-12,test,0
2018-01-12,test,0
2018-01-12,test,1
2018-01-12,test,0
2018-01-12,test,0
2018-01-12,test,1
2018-01-13,control,0
2018-01-13,control,0
2018-01-13,control,1
2018-01-13,control,0
2018-01-13,control,0
2018-01-13,control,0
2018-01-13,control,0
2018-01-13,control,0
2018-01-13,control,0
2018-01-13,test,1
2018-01-13,test,0
2018-01-13,test,1
2018-01-13,test,1
2018-01-13,test,0
2018-01-13,test,0
2018-01-13,test,0
2018-01-13,test,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,1
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,control,0
2018-01-14,test,0
2018-01-14,test,0
2018-01-14,test,1
2018-01-14,test,0
2018-01-14,test,1
2018-01-14,test,0
2018-01-14,test,0
2018-01-14,test,0
2018-01-14,test,1
2018-01-14,test,1
2018-01-15,control,1
2018-01-15,control,1
2018-01-15,control,1
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,0
2018-01-15,control,1
2018-01-15,control,1
2018-01-15,control,1
2018-01-15,control,0
2018-01-15,control,1
2018-01-15,test,0
2018-01-15,test,1
2018-01-15,test,0
2018-01-15,test,0
2018-01-15,test,0
2018-01-15,test,1
2018-01-15,test,1
2018-01-15,test,0
2018-01-15,test,0
2018-01-15,test,0
2018-01-15,test,1
2018-01-16,control,0
2018-01-16,control,1
2018-01-16,control,0
2018-01-16,control,0
2018-01-16,control,0
2018-01-16,control,0
2018-01-16,control,0
2018-01-16,test,1
2018-01-16,test,0
2018-01-16,test,0
2018-01-16,test,0
2018-01-16,test,1
2018-01-16,test,1
2018-01-16,test,0
2018-01-17,control,0
2018-01-17,control,1
2018-01-17,control,1
2018-01-17,control,0
2018-01-17,control,0
2018-01-17,control,0
2018-01-17,control,0
2018-01-17,control,0
2018-01-17,control,0
2018-01-17,test,0
2018-01-17,test,1
2018-01-17,test,1
2018-01-17,test,0
2018-01-17,test,0
2018-01-17,test,1
2018-01-17,test,0
2018-01-17,test,1
2018-01-18,control,0
2018-01-18,control,0
2018-01-18,control,0
2018-01-18,control,0
2018-01-18,control,0
2018-01-18,control,0
2018-01-18,test,0
2018-01-18,test,0
2018-01-18,test,1
2018-01-18,test,0
2018-01-18,test,1
2018-01-18,test,0
2018-01-18,test,0
2018-01-18,test,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,1
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,control,0
2018-01-19,test,1
2018-01-19,test,0
2018-01-19,test,0
2018-01-19,test,1
2018-01-19,test,1
2018-01-19,test,0
2018-01-19,test,0
2018-01-19,test,1
2018-01-19,test,1
2018-01-19,test,0
2018-01-19,test,1
2018-01-20,control,0
2018-01-20,control,0
2018-01-20,control,0
2018-01-20,control,0
2018-01-20,control,0
2018-01-20,control,1
2018-01-20,control,1
2018-01-20,test,0
2018-01-20,test,0
2018-01-20,test,0
2018-01-20,test,0
2018-01-20,test,1
2018-01-20,test,0
2018-01-21,control,0
2018-01-21,control,0
2018-01-21,control,0
2018-01-21,control,0
2018-01-21,control,1
2018-01-21,control,0
2018-01-21,control,0
2018-01-21,control,0
2018-01-21,test,0
2018-01-21,test,0
2018-01-21,test,0
2018-01-21,test,0
2018-01-21,test,1
2018-01-21,test,0
2018-01-21,test,1
2018-01-21,test,1
2018-01-21,test,0
2018-01-21,test,0
2018-01-21,test,1
2018-01-21,test,0
2018-01-21,test,0
2018-01-21,test,1
2018-01-22,control,0
2018-01-22,control,0
2018-01-22,control,0
2018-01-22,control,0
2018-01-22,control,1
2018-01-22,control,0
2018-01-22,control,0
2018-01-22,control,0
2018-01-22,control,1
2018-01-22,control,0
2018-01-22,control,1
2018-01-22,test,0
2018-01-22,test,1
2018-01-22,test,0
2018-01-22,test,1
2018-01-22,test,0
2018-01-22,test,0
2018-01-22,test,1
2018-01-22,test,0
2018-01-22,test,0
2018-01-23,control,0
2018-01-23,control,1
2018-01-23,control,0
2018-01-23,control,0
2018-01-23,control,1
2018-01-23,control,1
2018-01-23,control,0
2018-01-23,control,0
2018-01-23,control,0
2018-01-23,test,0
2018-01-23,test,0
2018-01-23,test,0
2018-01-23,test,0
2018-01-23,test,0
2018-01-23,test,0
2018-01-23,test,0
2018-01-24,control,0
2018-01-24,control,0
2018-01-24,control,0
2018-01-24,control,0
2018-01-24,control,0
2018-01-24,control,0
2018-01-24,test,0
2018-01-24,test,0
2018-01-24,test,0
2018-01-24,test,1
2018-01-25,control,0
2018-01-25,control,0
2018-01-25,control,0
2018-01-25,control,0
2018-01-25,control,0
2018-01-25,control,1
2018-01-25,control,0
2018-01-25,control,0
2018-01-25,control,0
2018-01-25,control,1
2018-01-25,control,0
2018-01-25,control,0
2018-01-25,control,1
2018-01-25,test,0
2018-01-25,test,0
2018-01-25,test,1
2018-01-25,test,0
2018-01-25,test,0
2018-01-25,test,1
2018-01-25,test,0
2018-01-25,test,0
2018-01-25,test,1
2018-01-25,test,0
2018-01-25,test,1
2018-01-25,test,1
2018-01-25,test,0
2018-01-25,test,0
2018-01-26,control,0
2018-01-26,control,0
2018-01-26,control,0
2018-01-26,control,0
2018-01-26,control,0
2018-01-26,control,0
2018-01-26,test,0
2018-01-26,test,0
2018-01-26,test,0
2018-01-26,test,1
2018-01-26,test,1
2018-01-26,test,0
2018-01-26,test,1
2018-01-26,test,0
2018-01-26,test,0
2018-01-26,test,0
2018-01-27,control,0
2018-01-27,control,0
2018-01-27,control,0
2018-01-27,control,0
2018-01-27,control,1
2018-01-27,control,0
2018-01-27,control,0
2018-01-27,control,0
2018-01-27,control,0
2018-01-27,test,0
2018-01-27,test,0
2018-01-27,test,0
2018-01-27,test,0
2018-01-27,test,1
2018-01-27,test,0
2018-01-27,test,0
2018-01-27,test,0
2018-01-27,test,0
2018-01-27,test,0
2018-01-28,control,0
2018-01-28,control,0
2018-01-28,control,0
2018-01-28,control,0
2018-01-28,control,0
2018-01-28,control,0
2018-01-28,control,1
2018-01-28,control,1
2018-01-28,control,0
2018-01-28,control,1
2018-01-28,control,0
2018-01-28,control,0
2018-01-28,test,0
2018-01-28,test,1
2018-01-28,test,0
2018-01-28,test,0
2018-01-28,test,0
2018-01-28,test,1
2018-01-29,control,0
2018-01-29,control,0
2018-01-29,control,0
2018-01-29,test,1
2018-01-29,test,0
2018-01-29,test,0
2018-01-29,test,1
2018-01-29,test,0
2018-01-29,test,1
2018-01-29,test,0
2018-01-29,test,0
2018-01-30,control,0
2018-01-30,control,0
2018-01-30,control,0
2018-01-30,control,0
2018-01-30,control,0
2018-01-30,test,0
2018-01-30,test,0
2018-01-30,test,1
2018-01-30,test,0
2018-01-30,test,0
2018-01-30,test,0
2018-01-30,test,1
2018-01-30,test,0
2018-01-30,test,0
2018-01-30,test,1
2018-01-31,control,0
2018-01-31,control,0
2018-01-31,control,0
2018-01-31,control,0
2018-01-31,control,0
2018-01-31,control,0
2018-01-31,control,1
2018-01-31,test,1
2018-01-31,test,0
2018-01-31,test,0
2018-01-31,test,0
2018-01-31,test,0
2018-01-31,test,1
2018-01-31,test,1
2018-01-31,test,0
2018-01-31,test,1
2018-01-31,test,0
2018-01-31,test,0
2018-01-31,test,1
2018-01-31,test,0
2018-01-31,test,1
